[2022-12-03 12:08:43,334]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "java_project / java_build {id=JavaProject_JavaBuild, internal id=bt1}" build configuration settings were edited ("version before: 5, version after: 6") by "special user '' (Super user) {id=-42}" with comment "runners of 'java_build' build configuration were updated"
[2022-12-03 12:08:53,313]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=4} was added to queue by "special user '' (Super user) {id=-42}"
[2022-12-03 12:08:53,317]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=4, configuration={id=JavaProject_JavaBuild, internal id=bt1}, queued, creatorNodeId="MAIN_SERVER"}, triggered by "special user '' (Super user) {id=-42}" (##userId='-42' type='user')}
[2022-12-03 12:08:53,327]   INFO - tbrains.buildServer.ACTIVITIES - Build started; java_project / java_build {id=JavaProject_JavaBuild, internal id=bt1} #4 {promotion id=4, agent="Agent 1-2" {id=1}, triggered by "special user '' (Super user) {id=-42}" (##userId='-42' type='user'). Started 2022-12-03 12:08:53.322, running}
[2022-12-03 12:09:13,169]   INFO - tbrains.buildServer.ACTIVITIES - Finished build java_project / java_build {id=JavaProject_JavaBuild, internal id=bt1} #4 {promotion id=4, agent="Agent 1-2" {id=1}, triggered by "special user '' (Super user) {id=-42}" (##userId='-42' type='user'). Started 2022-12-03 12:08:53.772, finished. Status "NORMAL 'Running'"}
[2022-12-03 12:11:16,027]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "java_project / java_build {id=JavaProject_JavaBuild, internal id=bt1}" build configuration settings were edited ("version before: 6, version after: 7") by "special user '' (Super user) {id=-42}" with comment "runners of 'java_build' build configuration were updated"
[2022-12-03 12:15:28,510]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=5} was added to queue by "special user '' (Super user) {id=-42}"
[2022-12-03 12:15:28,517]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=5, configuration={id=JavaProject_JavaBuild, internal id=bt1}, queued, creatorNodeId="MAIN_SERVER"}, triggered by "special user '' (Super user) {id=-42}" (##userId='-42' type='user')}
[2022-12-03 12:15:28,534]   INFO - tbrains.buildServer.ACTIVITIES - Build started; java_project / java_build {id=JavaProject_JavaBuild, internal id=bt1} #5 {promotion id=5, agent="Agent 1-2" {id=1}, triggered by "special user '' (Super user) {id=-42}" (##userId='-42' type='user'). Started 2022-12-03 12:15:28.526, running}
[2022-12-03 12:15:33,554]   INFO - tbrains.buildServer.ACTIVITIES - Finished build java_project / java_build {id=JavaProject_JavaBuild, internal id=bt1} #5 {promotion id=5, agent="Agent 1-2" {id=1}, triggered by "special user '' (Super user) {id=-42}" (##userId='-42' type='user'). Started 2022-12-03 12:15:28.912, finished. Status "FAILURE 'Exit code 1 (Step: Command Line) (new)'"}
[2022-12-03 12:16:20,301]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "java_project / java_build {id=JavaProject_JavaBuild, internal id=bt1}" build configuration settings were edited ("version before: 7, version after: 8") by "special user '' (Super user) {id=-42}" with comment "runners of 'java_build' build configuration were updated"
[2022-12-03 12:18:11,462]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "java_project / java_build {id=JavaProject_JavaBuild, internal id=bt1}" build configuration settings were edited ("version before: 8, version after: 9") by "special user '' (Super user) {id=-42}" with comment "runners of 'java_build' build configuration were updated"
[2022-12-03 12:18:33,940]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "java_project / java_build {id=JavaProject_JavaBuild, internal id=bt1}" build configuration settings were edited ("version before: 9, version after: 10") by "special user '' (Super user) {id=-42}" with comment "runners of 'java_build' build configuration were updated"
[2022-12-03 12:18:49,544]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "java_project / java_build {id=JavaProject_JavaBuild, internal id=bt1}" build configuration settings were edited ("version before: 10, version after: 11") by "special user '' (Super user) {id=-42}" with comment "runners of 'java_build' build configuration were updated"
[2022-12-03 12:18:53,630]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=6} was added to queue by "special user '' (Super user) {id=-42}"
[2022-12-03 12:18:53,633]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=6, configuration={id=JavaProject_JavaBuild, internal id=bt1}, queued, creatorNodeId="MAIN_SERVER"}, triggered by "special user '' (Super user) {id=-42}" (##userId='-42' type='user')}
[2022-12-03 12:18:53,643]   INFO - tbrains.buildServer.ACTIVITIES - Build started; java_project / java_build {id=JavaProject_JavaBuild, internal id=bt1} #6 {promotion id=6, agent="Agent 1-2" {id=1}, triggered by "special user '' (Super user) {id=-42}" (##userId='-42' type='user'). Started 2022-12-03 12:18:53.638, running}
[2022-12-03 12:18:58,878]   INFO - tbrains.buildServer.ACTIVITIES - Finished build java_project / java_build {id=JavaProject_JavaBuild, internal id=bt1} #6 {promotion id=6, agent="Agent 1-2" {id=1}, triggered by "special user '' (Super user) {id=-42}" (##userId='-42' type='user'). Started 2022-12-03 12:18:53.979, finished. Status "FAILURE 'Exit code 1 (Step: Build_docker_image (Docker)) (new)'"}
[2022-12-03 12:19:41,919]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "java_project / java_build {id=JavaProject_JavaBuild, internal id=bt1}" build configuration settings were edited ("version before: 11, version after: 12") by "special user '' (Super user) {id=-42}" with comment "runners of 'java_build' build configuration were updated"
[2022-12-03 12:20:13,709]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "java_project / java_build {id=JavaProject_JavaBuild, internal id=bt1}" build configuration settings were edited ("version before: 12, version after: 13") by "special user '' (Super user) {id=-42}" with comment "runners of 'java_build' build configuration were updated"
[2022-12-03 12:20:59,435]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "java_project / java_build {id=JavaProject_JavaBuild, internal id=bt1}" build configuration settings were edited ("version before: 13, version after: 14") by "special user '' (Super user) {id=-42}" with comment "parameters of 'java_build' build configuration were updated"
[2022-12-03 12:21:17,903]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "java_project / java_build {id=JavaProject_JavaBuild, internal id=bt1}" build configuration settings were edited ("version before: 14, version after: 15") by "special user '' (Super user) {id=-42}" with comment "parameters of 'java_build' build configuration were updated"
